msgctxt,msgid,msgid_plural,msgstr[en],msgstr[ja],msgstr[zh-CN],msgstr[zh-TW],references
",리스본",리스본,,Lisboa,リスボン,里斯本,里斯本,../cms/textset/Discovery.textset:3177
",세비야",세비야,,Seville,セビリア,塞维尔,塞維爾,../cms/textset/Discovery.textset:3293
",포르투",포르투,,Porto,ポルト,奥波多,奧波多,../cms/textset/Discovery.textset:3483
",칸디아",칸디아,,Candia,カンディア,甘地亚,甘地亞,../cms/textset/Discovery.textset:3403
",고아",고아,,Goa,ゴア,果阿,果阿,../cms/textset/Discovery.textset:3115
",과테말라",과테말라,,Guatemala,グアテマラ,危地马拉,瓜地馬拉,../cms/textset/Discovery.textset:3117
",괌",괌,,Guam,グアム,关岛,關島,../cms/textset/Discovery.textset:3119
",사우스사이드",사우스사이드,,Southside,サウスサイド,绍斯赛德,紹斯賽德,../cms/textset/Discovery.textset:3123
",그로닝겐",그로닝겐,,Groningen,フローニンゲン,格罗宁根,格羅寧根,../cms/textset/Discovery.textset:3517
",나가사키",나가사키,,Nagasaki,長崎,长崎,長崎,../cms/textset/Discovery.textset:3125
",나르비크",나르비크,,Narvik,ナルヴィク,纳尔维克,那維克,../cms/textset/Discovery.textset:3269
",나사우",나사우,,Nassau,ナッソー,拿索,拿索,../cms/textset/Discovery.textset:3379
",나탈",나탈,,Natal,ナタール,纳塔尔,納塔爾,../cms/textset/Discovery.textset:3127
",나폴리",나폴리,,Naples,ナポリ,拿坡里,拿坡里,../cms/textset/Discovery.textset:3129
",낭트",낭트,,Nantes,ナント,南特,南特,../cms/textset/Discovery.textset:3131
",누탁",누탁,,Nutak,ヌタック,努塔克,努塔克,../cms/textset/Discovery.textset:3133
",니코시아",니코시아,,Nicosia,ニコシア,尼科西亚,尼克西亞,../cms/textset/Discovery.textset:3135
",다바오",다바오,,Davao,ダバオ,达沃,達沃,../cms/textset/Discovery.textset:3137
",단수이",단수이,,Tamsui,淡水,淡水,淡水,../cms/textset/Discovery.textset:3139
",그단스크",그단스크,,Gdańsk,グダニスク,但泽,但澤,../cms/textset/Discovery.textset:3121
